"rep","method","rJ","rI1","rI2","eJ1","eJ2","eI1","eI2","time","error"
29,"BIDIFAC+",6,4,5,1.11852800840174,0.181849989510453,1.08726336514145,0.149362258283418,214.666,NA
30,"PPD",4,2,5,1.53603147201745,0.18151471788599,1.19610457465872,0.0901862034609849,218.833,NA
30,"BIDIFAC+",6,5,4,1.17410263308827,0.174727929295818,1.13309272005767,0.152329082955216,224.366,NA
31,"PPD",4,2,5,1.54644741863672,0.179103582380707,1.19504955946848,0.0896911594765984,217.11,NA
31,"BIDIFAC+",6,4,5,1.11110548021553,0.17613945002234,1.05994352863804,0.149775880253912,217.47,NA
32,"PPD",4,2,5,1.51498432520093,0.182116253178358,1.18959935548272,0.0897887835519713,211.532,NA
32,"BIDIFAC+",6,4,4,1.12337580137419,0.177199579322418,1.08964968156047,0.151685937742602,217.322,NA
33,"PPD",4,2,5,1.52923289248538,0.183334902791864,1.19957778884429,0.0887422971466045,216.206,NA
33,"BIDIFAC+",6,4,4,1.17139088621424,0.176697865176909,1.13436080398148,0.150773384057493,214.514,NA
34,"PPD",4,2,5,1.52565711972843,0.178605544449446,1.19048010110713,0.0909108784452515,217.023,NA
34,"BIDIFAC+",6,5,4,1.1235872975297,0.180017642791108,1.07650078106626,0.151344365739823,210.089,NA
35,"PPD",5,1,4,1.4042405294091,0.266197734615904,1.06418769791765,0.116527280270989,216.415,NA
35,"BIDIFAC+",6,4,4,1.19571993461933,0.168805516146223,1.14790979233723,0.150378472005995,217.982,NA
36,"PPD",4,2,5,1.51922206545435,0.182269563726151,1.20115291684841,0.0911049968046966,217.591,NA
36,"BIDIFAC+",6,4,5,1.08911327294826,0.18223841202474,1.06299912599506,0.149752824849406,219.432,NA
37,"PPD",4,2,5,1.52602657440292,0.183100843751733,1.19223524964653,0.0893885851846065,217.99,NA
37,"BIDIFAC+",6,5,5,1.13070048990718,0.176879913570521,1.08458643670827,0.152408304822487,218.794,NA
38,"PPD",4,2,5,1.56835523175563,0.17691576285305,1.23266660298757,0.0883384549768258,218.757,NA
38,"BIDIFAC+",6,4,4,1.13493205984734,0.179197319800981,1.09859387371101,0.150321976814954,219.107,NA
39,"PPD",4,2,5,1.52854650375678,0.182469011537514,1.19804790878946,0.0894099798149517,215.14,NA
39,"BIDIFAC+",6,4,5,1.09542598253701,0.179601473314063,1.0626712291916,0.150254716691488,227.631,NA
40,"PPD",5,1,4,1.4254015751074,0.272872100316888,1.06753696014846,0.116409487304297,219.196,NA
40,"BIDIFAC+",6,4,4,1.13255370959038,0.178506557826704,1.0808817137355,0.1498562204699,222.677,NA
41,"PPD",4,2,5,1.52587677464142,0.183596394863187,1.19394994958657,0.0893273756233712,217.838,NA
41,"BIDIFAC+",6,4,4,1.15527781541217,0.179570318129575,1.11326468900914,0.14952646041893,211.934,NA
42,"PPD",4,2,5,1.53266201757225,0.177221185273263,1.19335172657196,0.0890509768556529,217.775,NA
42,"BIDIFAC+",6,4,4,1.12381677392231,0.174350186409287,1.08381253006525,0.150939246891825,219.386,NA
43,"PPD",4,2,5,1.53614310312376,0.184497895691975,1.18260445217604,0.0905432661333318,218.311000000001,NA
43,"BIDIFAC+",6,4,5,1.09198146161635,0.181712083623786,1.03301869606767,0.150997200012181,215.251,NA
44,"PPD",4,2,5,1.54583390861594,0.176501251423648,1.19312836910408,0.0903715557366172,216.339,NA
44,"BIDIFAC+",6,5,5,1.11413173086308,0.173532054066319,1.05495459601961,0.150353318463175,223.859,NA
45,"PPD",4,2,5,1.53030557821411,0.178017391495557,1.19097642268828,0.090977792334159,223.113,NA
45,"BIDIFAC+",6,5,5,1.1800083769097,0.173125528462629,1.13357867144674,0.152399975745781,213.773999999999,NA
46,"PPD",5,1,4,1.40123537802621,0.277062104059726,1.06561065732831,0.117195086830873,217.891000000001,NA
46,"BIDIFAC+",7,4,4,1.14650216859537,0.180188179528991,1.11558543612629,0.152637238106547,220.402,NA
47,"PPD",4,2,5,1.52762405223357,0.180581575856137,1.19248042500558,0.0896780899898733,216.345,NA
47,"BIDIFAC+",6,4,4,1.15513398823636,0.175831581891568,1.11133653775684,0.149912352878493,217.782,NA
48,"PPD",4,2,5,1.51122194213119,0.181618174932082,1.19085755250336,0.0909128116804824,215.066,NA
48,"BIDIFAC+",7,5,6,1.14141254823718,0.176604085563611,1.11389300289522,0.151047081307688,218.652999999999,NA
49,"PPD",4,2,5,1.54341990722675,0.180252397699776,1.19314115302639,0.0900312582226864,217.585,NA
49,"BIDIFAC+",6,4,5,1.11098487749649,0.175543277521164,1.05559417987057,0.150766099627209,221.706,NA
50,"PPD",4,2,5,1.53620488362232,0.177350438550003,1.19318686019847,0.0907858468075665,217.811000000001,NA
50,"BIDIFAC+",6,5,5,1.15129141516418,0.177401925522521,1.1023209990443,0.150853240667377,220.869,NA
51,"PPD",4,2,5,1.5327892744255,0.181861144834855,1.21107246429658,0.0893462640348677,215.101,NA
51,"BIDIFAC+",7,4,5,1.06542974675785,0.179450310184471,1.02984367776154,0.150051656946716,220.809,NA
52,"PPD",4,2,5,1.53088935298887,0.174336916947544,1.20894122622336,0.0886253717947059,212.569,NA
52,"BIDIFAC+",6,4,5,1.08610517616006,0.183805522211237,1.05519005026089,0.150957457329243,222.287,NA
53,"PPD",4,2,5,1.53173269733925,0.18154538218331,1.19862768614325,0.0907371508075823,218.19,NA
53,"BIDIFAC+",6,4,5,1.13463746222674,0.17805850435285,1.0926963091476,0.150966347227499,224.346,NA
54,"PPD",4,2,5,1.53648317359514,0.170182421540703,1.19743991048551,0.0881184584202884,213.304,NA
54,"BIDIFAC+",6,4,5,1.09276707200691,0.176964131423714,1.04300874663739,0.151365586753355,225.013,NA
55,"PPD",5,1,4,1.4024043671585,0.27708878529384,1.06160073561901,0.11609196960163,215.507000000001,NA
55,"BIDIFAC+",7,4,5,1.09055010553675,0.181843243260606,1.04217711941381,0.151555257536857,216.081,NA
56,"PPD",4,2,5,1.54101785422127,0.181258185957651,1.19258576079265,0.0895376209165835,214.527,NA
56,"BIDIFAC+",6,5,5,1.15608494450955,0.171510160703431,1.10654564819349,0.151089520729753,218.166,NA
57,"PPD",4,2,5,1.58121569983783,0.174507458373966,1.23620888494255,0.0880154015298748,219.086,NA
57,"BIDIFAC+",6,4,5,1.10771930446721,0.177989407446097,1.05853982700074,0.15084279621661,217.393999999999,NA
58,"PPD",4,2,5,1.54170667407209,0.17861701649554,1.21429117974937,0.0889198020431397,219.66,NA
58,"BIDIFAC+",6,4,5,1.07215757225174,0.175985808144126,1.03136022845571,0.152328815975288,224.25,NA
59,"PPD",4,2,5,1.51764085237274,0.182475818101609,1.184922581324,0.0902126624222743,223.35,NA
59,"BIDIFAC+",7,5,5,1.14134598028432,0.184943025975141,1.11544748642866,0.151500549962233,221.11,NA
60,"PPD",4,2,5,1.53647148171184,0.176981394614928,1.19963188740771,0.090650326676039,215.001,NA
60,"BIDIFAC+",6,4,5,1.08636217468887,0.177421704597684,1.04245535358026,0.151310080405366,224.333000000001,NA
61,"PPD",4,2,5,1.53980548725783,0.178656744619804,1.2009057432459,0.0892855048311235,222.434999999999,NA
61,"BIDIFAC+",6,5,5,1.13040620137891,0.176649383190451,1.08708575663005,0.149921224185861,216.775,NA
62,"PPD",5,1,4,1.38197253892858,0.271958716456191,1.06356690041442,0.114998120249917,210.632000000001,NA
62,"BIDIFAC+",6,5,4,1.14149696817149,0.179024439658947,1.11290590074809,0.150314027681059,213.9,NA
63,"PPD",4,2,5,1.53726877390316,0.177923779863892,1.19770136165636,0.0902375093848911,213.614,NA
63,"BIDIFAC+",7,4,5,1.09987473075827,0.177641439086357,1.05112748332711,0.152219330115301,218.447,NA
64,"PPD",4,2,5,1.53570108160847,0.183979027299685,1.19814494539975,0.0908457900908355,217.378000000001,NA
64,"BIDIFAC+",6,4,4,1.11663474900252,0.180041899771214,1.07320476491131,0.150860416666543,227.910999999999,NA
65,"PPD",4,2,5,1.52969206575961,0.183680348527638,1.19739523051603,0.0902859481005148,220.174,NA
65,"BIDIFAC+",6,5,4,1.13967193448237,0.182784893347565,1.10750680441116,0.151780895033602,219.819,NA
66,"PPD",4,2,5,1.52137105471391,0.182285815964526,1.19674129510479,0.0900564229615248,215.207,NA
66,"BIDIFAC+",6,4,4,1.0711448727615,0.179739717888825,1.04227732744881,0.1506952979886,226.436,NA
67,"PPD",5,1,4,1.40996960830877,0.268661460918232,1.06966264088669,0.115808560456251,220.701999999999,NA
67,"BIDIFAC+",6,4,4,1.15997961821535,0.176190439585999,1.12431555000993,0.151861550294292,221.348999999999,NA
68,"PPD",5,1,4,1.41800824757424,0.270120835703938,1.06366229416851,0.117215847078355,218.601000000001,NA
68,"BIDIFAC+",7,4,4,1.10398325085524,0.178081444389315,1.0457247479631,0.151913544222118,224.244000000001,NA
69,"PPD",4,2,5,1.52601004497344,0.174853375799099,1.19006076598203,0.0892385291069877,214.800999999999,NA
69,"BIDIFAC+",6,5,5,1.12420122895893,0.17180417043847,1.0737200604479,0.151092138831375,216.237000000001,NA
70,"PPD",4,2,5,1.53175890841442,0.182652369212061,1.19387955828139,0.0900790137836415,218.627,NA
70,"BIDIFAC+",6,5,4,1.15992655931346,0.176142492858836,1.11955754387299,0.152770517303833,214.507000000001,NA
71,"PPD",4,2,5,1.52933253317704,0.182074231228432,1.1897242257637,0.0908136096679945,213.711000000001,NA
71,"BIDIFAC+",6,4,5,1.11135403925695,0.178198796041509,1.06972554573919,0.151167466765753,215.888000000001,NA
72,"PPD",4,2,5,1.53309597050003,0.184297962806245,1.19480790656253,0.0900677330065984,211.308000000001,NA
72,"BIDIFAC+",6,4,4,1.15748375181527,0.177173349513639,1.11588647995269,0.149462452978368,214.761,NA
73,"PPD",5,1,4,1.39234181081949,0.275284819557014,1.06350646581288,0.116047915940184,211.942999999999,NA
73,"BIDIFAC+",6,4,4,1.08998096837599,0.180888710539413,1.05591961590083,0.150576195290703,215.691999999999,NA
74,"PPD",4,2,5,1.53009162273361,0.17770468008869,1.20012247822018,0.089156719990157,212.878000000001,NA
74,"BIDIFAC+",6,5,4,1.14757188240723,0.176360526875687,1.10667621818288,0.150284441644257,210.958000000001,NA
75,"PPD",4,2,5,1.52617119627583,0.187884024070294,1.18592138703147,0.0884816909752684,216.871999999999,NA
75,"BIDIFAC+",6,4,4,1.12908877977165,0.182516057072634,1.09292197855495,0.151087590983318,213.823,NA
76,"PPD",4,2,5,1.52107266950309,0.180508514191523,1.1940173420724,0.0903102566660687,207.105,NA
76,"BIDIFAC+",6,4,4,1.12936320493723,0.17649522208597,1.09031653679574,0.150647919850822,220.243999999999,NA
77,"PPD",4,2,5,1.5165387281208,0.18150383187017,1.18906800087128,0.0903834177218959,209.5,NA
77,"BIDIFAC+",6,4,5,1.09259049600194,0.181592646949198,1.05281230191024,0.150951755632951,212.83,NA
78,"PPD",4,2,5,1.52681200096772,0.182516142450266,1.19316523131407,0.0913359996216925,209.877999999999,NA
78,"BIDIFAC+",6,5,4,1.08625709441111,0.183000535290668,1.04868413795875,0.152539249236952,219.378999999999,NA
79,"PPD",4,2,5,1.54564093747113,0.183495070708388,1.19564254495862,0.089684704124343,211.599,NA
79,"BIDIFAC+",6,4,4,1.12061954084545,0.172718159139338,1.05820528011896,0.150469273266157,210.662,NA
80,"PPD",4,2,5,1.54421832524214,0.181564896372378,1.20339225561286,0.0904902786131257,212.73,NA
80,"BIDIFAC+",6,5,5,1.14401000248228,0.176929867339567,1.09369028366097,0.150188043379231,210.895,NA
81,"PPD",4,2,5,1.52596700565232,0.183458494094808,1.1971843722098,0.0895438674541506,212.02,NA
81,"BIDIFAC+",6,4,5,1.14020198865774,0.176868570117952,1.10712108876041,0.151800383558854,215.925999999999,NA
82,"PPD",4,2,5,1.55015932211177,0.177351480913056,1.21268399405463,0.0892498440143068,213.558999999999,NA
82,"BIDIFAC+",6,5,5,1.19226663704486,0.168240221766797,1.14972821484293,0.150584216491492,214.334000000001,NA
83,"PPD",4,2,5,1.52417848134503,0.178337440745402,1.19270716019716,0.0895268540548812,212.984999999999,NA
