"rep","method","rG","r12","r13","r23","rI1","rI2","rI3","eG","e12","e13","e23","eI1","eI2","eI3","time","error"
81,"PPD",4,1,1,3,0,1,4,0.0654014917337785,0.0192385848553635,0.0700767176214245,0.198771373423291,1,0.813563593923077,0.0514294769646399,601.988,NA
81,"BIDIFAC+",3,1,4,7,2,1,12,0.211841739551585,0.0375338187213967,0.517768457752608,0.102074472525886,0.370655510929386,0.999790895905345,0.177477644948042,1558.914,NA
82,"PPD",4,1,1,4,0,0,3,0.1091669754802,0.1439918375191,0.0997390134736491,0.250263127011589,1,1,0.0704399716153183,1122.153,NA
82,"BIDIFAC+",4,1,5,8,2,1,12,0.206193096930553,0.0397669835158563,0.444999775708926,0.100396494044147,0.386464168474761,0.999857037161039,0.179191391789568,3018.032,NA
83,"PPD",4,1,1,3,0,1,4,0.155105213446946,0.273442956307372,0.148220645650365,0.177985753862602,1,0.776513503171227,0.0524481108023016,601.335,NA
83,"BIDIFAC+",5,1,5,7,2,1,11,0.233533165261714,0.0354572393664061,0.572176314576639,0.120006572840581,0.386406890217923,0.996575014461315,0.172303962503396,1839.358,NA
84,"PPD",4,1,1,3,0,1,4,0.383100182815179,0.953448785317066,0.060387523065015,0.165139402048163,1,0.729531401890185,0.0451698485320852,1125.591,NA
84,"BIDIFAC+",4,1,5,7,2,1,12,0.211792949177802,0.0385974443241307,0.500359956165678,0.105957950842175,0.379976289011213,0.999749051100264,0.177375990696654,2838.456,NA
85,"PPD",4,1,1,3,0,1,4,0.081671219457308,0.023701057180255,0.0617245614056471,0.214090391598811,1,0.878211116247034,0.0560442172305373,601.062000000001,NA
85,"BIDIFAC+",4,1,5,7,2,1,12,0.219346451613469,0.0377834226991285,0.481961570348398,0.114731905834856,0.378761357505928,0.999027071066403,0.181026161945629,2170.085,NA
86,"PPD",4,1,1,3,0,1,4,0.099011371808163,0.0748608670603928,0.0699414237432877,0.151359039269946,1,0.806747362657832,0.0524031220794513,1114.326,NA
86,"BIDIFAC+",4,1,6,8,2,1,12,0.205716807402815,0.0392515158361544,0.472634647197156,0.104171446359362,0.392320896894959,0.998428006661625,0.182321860543929,2932.28,NA
87,"PPD",4,1,1,4,0,0,3,0.0849502737976624,0.0590381366629605,0.0583823187116324,0.260633345993706,1,1,0.0677589294413625,606.136,NA
87,"BIDIFAC+",4,1,4,7,1,1,12,0.217613116788576,0.0374719314620032,0.541906807219088,0.109012829315401,0.36231923206859,0.997700164940608,0.175378889275173,2061.156,NA
88,"PPD",4,1,1,4,0,0,3,0.111548329855408,0.103822470206341,0.105739546668543,0.276508264090543,1,1,0.0669432422439947,1128.239,NA
88,"BIDIFAC+",3,1,5,8,2,1,12,0.226948315037606,0.0364730423804738,0.551191961355862,0.110236493048356,0.364330113098164,0.999719333437343,0.171658795313854,2812.933,NA
89,"PPD",4,1,1,3,0,1,4,0.174986895005352,0.312247000120726,0.127827172806267,0.185332855791776,1,0.854621225313762,0.0552517584058847,1114.695,NA
89,"BIDIFAC+",3,1,5,8,1,1,12,0.23686202354206,0.0361845676296444,0.62009215578965,0.116739772050105,0.373144145822987,0.998624787433722,0.174191062462256,2680.181,NA
90,"PPD",4,1,1,2,0,2,5,0.403033718608806,1.02330608530934,0.551867903447399,0.0125237659471448,1,0.301508591993292,0.062117633862665,604.190000000001,NA
90,"BIDIFAC+",4,1,5,7,2,1,12,0.23651573044989,0.0396980562441514,0.609186834833504,0.115732330942131,0.354849567644033,0.999599785439183,0.168046208204859,2169.623,NA
91,"PPD",4,1,1,3,0,1,4,0.0707567241007609,0.0369706507930544,0.103188260510199,0.189487175692285,1,0.838682819366623,0.0522058885813669,608.74,NA
91,"BIDIFAC+",3,1,4,7,2,1,12,0.230396856175884,0.0377717808906806,0.552953723994922,0.107942080280406,0.366649388946893,0.996881376127883,0.173850895700069,2924.165,NA
92,"PPD",4,1,1,4,0,0,3,0.0843304367980743,0.0249944977521343,0.071484416305549,0.267596231848728,1,1,0.0678726699746514,613.953,NA
92,"BIDIFAC+",3,1,5,8,2,1,12,0.213196266192735,0.037460968391844,0.493621877381924,0.102179976259309,0.372297175432581,0.997896102738264,0.180270022962697,2805.802,NA
93,"PPD",4,1,1,3,0,1,4,0.0764571629304676,0.0225708718383829,0.0989369074879192,0.153306096527275,1,0.811439844067565,0.053167298599482,682.402999999998,NA
93,"BIDIFAC+",4,1,4,7,1,1,12,0.233927166761147,0.0377105088712031,0.598884522102037,0.115090038666435,0.38346770146244,0.998989874511902,0.170340109670719,2692.153,NA
94,"PPD",4,1,1,3,0,1,4,0.402430161105144,1.01156361131476,0.4416738312579,0.189467465169991,1,0.901466705656835,0.0941340080626256,778.428,NA
94,"BIDIFAC+",4,1,6,7,2,1,12,0.221864384102018,0.0359540628408003,0.546351305463252,0.108486261527534,0.395181384068509,0.999108415789954,0.176471439799412,2825.114,NA
95,"PPD",4,1,1,3,0,1,4,0.241616831031827,0.536356964244415,0.0383125502795523,0.169932021823871,1,0.929315118949124,0.0532034281714407,805.873,NA
95,"BIDIFAC+",4,1,4,8,2,1,12,0.228417239073413,0.0365104268993507,0.555002973965468,0.114640431674365,0.38999057533348,0.997619565694343,0.174601183778074,2582.477,NA
96,"PPD",4,1,1,4,0,0,3,0.0781743328167504,0.0353755919325682,0.104372066240521,0.270469225683106,1,1,0.0670367255862106,820.697,NA
96,"BIDIFAC+",4,1,5,7,2,1,11,0.220799230986027,0.0396550885537535,0.540888114090522,0.115286447081224,0.381963022442232,0.999575960601765,0.172438884137297,2464.922,NA
97,"PPD",4,1,1,3,0,1,4,0.0629828955491977,0.0186537971453887,0.107836082488938,0.207431737226854,1,0.777318118361703,0.0477454197764672,896.793000000001,NA
97,"BIDIFAC+",5,1,4,7,2,1,11,0.226472705021272,0.0395615548301772,0.54176426165421,0.1143485532731,0.379953496826083,0.999690753027691,0.173945190751991,2448.737,NA
98,"PPD",4,1,1,3,0,1,4,0.323528798189327,0.771324236482086,0.143076236574103,0.214618368908376,1,0.928971524002285,0.060239825297441,934.84,NA
98,"BIDIFAC+",3,1,4,8,1,1,12,0.212155524003576,0.0365915190683392,0.474597155422295,0.102081520519869,0.375706079716147,0.998531651882391,0.178670029964247,2492.131,NA
99,"PPD",4,1,1,4,0,0,3,0.0794715079731534,0.0151610036069684,0.0606700290596592,0.208376319953978,1,1,0.0655915416299552,1005.373,NA
99,"BIDIFAC+",4,1,5,7,2,1,12,0.221045417909044,0.0362106354427607,0.576135202996933,0.110485160730972,0.387323426990408,0.997418451990927,0.172716125607929,2533.167,NA
100,"PPD",4,1,1,3,0,1,4,0.06051733710531,0.0157993824126202,0.0910285228116356,0.167735270330601,1,0.812394450729688,0.0510287914707189,954.093000000001,NA
100,"BIDIFAC+",4,1,4,8,1,1,12,0.217658174222079,0.0357414503738123,0.534252843024895,0.10300275900798,0.401107002846644,0.99985542532039,0.180575840130273,2514.862,NA
