"rep","method","rG","r12","r13","r23","rI1","rI2","rI3","eG","e12","e13","e23","eI1","eI2","eI3","time","error"
19,"PPD",4,1,1,3,0,1,4,0.200893730407787,0.374307287857266,0.120672349560927,0.14806559339832,1,0.871589354047789,0.0563525514280758,1046.279,NA
19,"BIDIFAC+",4,2,4,7,2,1,12,0.238196710825711,0.0379249855817619,0.613006689984598,0.114431505244362,0.378511074789472,0.999997206748764,0.170658470660405,1588.232,NA
20,"PPD",4,1,1,3,0,1,4,0.0740813919509216,0.021257577613101,0.0532076168528065,0.129616400108831,1,0.795089608627938,0.0510644670357442,608.859,NA
20,"BIDIFAC+",5,1,4,8,2,1,12,0.213841653905816,0.0367588170880534,0.469650001507478,0.111950547741366,0.375519387530258,0.999719334838948,0.175935482557605,1580.956,NA
21,"PPD",4,1,1,3,0,1,4,0.402425116574364,0.974610996970694,0.0360408591345241,0.183436738444361,1,0.750392557056638,0.0493658628336832,1129.672,NA
21,"BIDIFAC+",4,1,4,7,2,1,12,0.23428409779742,0.037138478024495,0.61414223522671,0.108338661634457,0.380149637385255,0.998514106683523,0.170788796686182,2696.459,NA
22,"PPD",4,1,1,3,0,1,4,0.342064106966957,0.828719118407375,0.0416053004930265,0.118344851309237,1,0.714510699898546,0.0396132823415009,609.02,NA
22,"BIDIFAC+",4,1,4,8,2,1,12,0.204567525306728,0.0373007574844462,0.497456710683379,0.104516341279434,0.392406685058773,0.998391703523711,0.176198748389085,2269.334,NA
23,"PPD",4,1,1,4,0,0,3,0.0760475127111746,0.014966207364021,0.0843765088341393,0.256795675574191,1,1,0.0662425471489837,607.756,NA
23,"BIDIFAC+",5,2,4,7,1,1,12,0.212906680871662,0.0367056208879064,0.533354996918674,0.104816553553084,0.376969370830002,0.999686435413638,0.179993984610875,1501.5,NA
24,"PPD",4,1,1,3,0,1,4,0.35012927303244,0.836079868026941,0.216223199363583,0.178584843330246,1,0.836769246174544,0.0599419458244496,1044.428,NA
24,"BIDIFAC+",4,1,4,8,2,1,12,0.213503934199184,0.0365862633290964,0.503034504529863,0.105688737784559,0.380907527927643,0.997629494846411,0.178411383122772,1450.089,NA
25,"PPD",4,1,1,4,0,0,3,0.0817211503291393,0.0172524569437215,0.0843626556925917,0.231068344391672,1,1,0.0661402681316692,871.477,NA
25,"BIDIFAC+",4,1,4,7,2,1,12,0.208459593319875,0.0363396473734264,0.493382721733053,0.108560719149843,0.386084601811261,0.998136280766789,0.179135592636973,1760.131,NA
26,"PPD",4,1,1,3,0,1,4,0.2998331031602,0.692010369029068,0.17568872404187,0.166555789221932,1,0.907969419273117,0.0622017154482743,599.857,NA
26,"BIDIFAC+",4,1,4,7,2,1,12,0.208521235802446,0.038316003620089,0.493192431160811,0.0980223802696346,0.366785373596767,0.99997300303088,0.178569249343118,1576.7,NA
27,"PPD",4,1,1,3,0,1,4,0.0681563020561161,0.0173234212918018,0.0998638135984391,0.186348725581718,1,0.8146671076662,0.0515325193113561,605.971,NA
27,"BIDIFAC+",4,1,4,7,2,1,12,0.229640760404116,0.0388800253993452,0.554551729687312,0.107462081490037,0.351730197736972,0.999783935850968,0.175200239045764,1647.481,NA
28,"PPD",4,1,1,3,0,1,4,0.367477636694239,0.899842396376334,0.140759287812512,0.1837037138498,1,0.751953215462138,0.0498083401200994,600.309,NA
28,"BIDIFAC+",5,1,5,7,1,1,11,0.212939075892155,0.0382261574103362,0.495388315777227,0.106129671169572,0.367097952019287,0.999769954298475,0.179691791484093,1542.118,NA
29,"PPD",4,1,1,3,0,1,4,0.340342778713123,0.805125929873754,0.150823402486646,0.193747709989182,1,0.825444753291971,0.055454084064941,599.965,NA
29,"BIDIFAC+",5,1,5,7,1,1,12,0.22066160615113,0.0361689046602329,0.556615657918551,0.109446435175372,0.388772334250907,0.998407639372834,0.171518978187208,1513.679,NA
30,"PPD",4,1,1,3,0,1,4,0.213442264686504,0.420061077215897,0.10740283030296,0.171219839324305,1,0.923869338885772,0.0603017882571608,600.134,NA
30,"BIDIFAC+",4,1,5,8,2,1,12,0.204484073425936,0.0370259429107002,0.465164736853352,0.100792243904192,0.366241391240627,0.999081427590375,0.175993392907849,1488.085,NA
31,"PPD",4,1,1,3,0,1,4,0.337381801706981,0.805573065653296,0.176261457532761,0.174872285170016,1,0.824969343729238,0.0562116376362703,599.259,NA
31,"BIDIFAC+",4,1,5,8,2,1,12,0.22153233246639,0.0378352843317693,0.513023352233413,0.108985931967423,0.37386810794272,0.999878186179668,0.176025404587465,1654.382,NA
32,"PPD",4,1,1,3,0,1,4,0.257821221344138,0.580009006905395,0.127210423107561,0.187083422264607,1,0.863140989077572,0.0574098957978445,599.177,NA
32,"BIDIFAC+",4,1,5,7,2,1,12,0.214201038354544,0.0389266976291693,0.48887568374862,0.108677813856973,0.38418892336148,0.99851706175535,0.173330400055427,1583.463,NA
33,"PPD",4,1,1,3,0,1,4,0.21413016372939,0.412205709367681,0.137519004129832,0.208075276984597,1,0.854675794158252,0.0553744929782248,602.695,NA
33,"BIDIFAC+",3,1,5,8,2,1,12,0.199473355277943,0.0363104381182107,0.434247264232699,0.100677346541298,0.38087457025968,0.999751188614663,0.179494973667437,1547.502,NA
34,"PPD",4,1,1,3,0,1,4,0.0719585307494449,0.0177093411609092,0.0583361950039118,0.148368761072063,1,0.842336786091012,0.0545457952914799,621.471,NA
34,"BIDIFAC+",5,1,5,8,1,1,12,0.229272472742959,0.0370959946628989,0.554824487522587,0.114168120414158,0.405567537661078,0.999876011697014,0.175234288821135,1437.295,NA
