"rep","d","ang","ang_deg","method","rJ","rI1","rI2","eJ1","eJ2","eI1","eI2","time","error"
48,0.1,0,0,"PPD",1,5,8,0.861209379818934,1.00975070362011,3.25185833823741,2.12453332456667,235.471,NA
49,0.1,0,0,"PPD",1,5,8,0.911816364125344,0.952863138334972,3.43602174198834,2.06369417605167,217.789,NA
50,0.1,0,0,"PPD",1,5,8,0.901218766726539,0.961380656590658,3.33975715024247,2.06424591643346,203.37,NA
51,0.1,0,0,"PPD",1,5,8,0.888736968415689,0.912543577291569,3.38302995048622,2.05509318537125,201.536,NA
52,0.1,0,0,"PPD",1,5,8,0.944286820294537,0.983285159866118,3.42171344889331,2.08382529792676,192.936,NA
53,0.1,0,0,"PPD",1,5,8,0.864505771982407,0.923272257150574,3.30528386237709,2.06643458009378,193.774,NA
54,0.1,0,0,"PPD",1,5,8,0.883218280683854,0.883369922399354,3.24379866483601,2.07643464512618,190.566,NA
55,0.1,0,0,"PPD",1,5,8,0.829083630933548,1.01609617939099,3.32102100248946,2.10750205445932,203.295,NA
56,0.1,0,0,"PPD",1,5,8,0.839979578131293,0.911335388330822,3.31069656837716,2.09732283209014,211.392,NA
57,0.1,0,0,"PPD",1,5,8,0.842067681025144,0.945716051909716,3.33642145222879,2.08928874717417,203.393,NA
58,0.1,0,0,"PPD",1,5,8,0.911551155288632,0.992582008690474,3.39985669056876,2.05744732287836,201.806,NA
59,0.1,0,0,"PPD",1,5,8,0.846826922381484,0.950664355430519,3.32246778073171,2.10065081854805,209.326,NA
60,0.1,0,0,"PPD",1,5,8,0.866311536983976,0.931374950993171,3.4672842603417,2.09073855489165,190.275,NA
61,0.1,0,0,"PPD",1,5,8,1.0033762311754,1.01371517449047,3.51576489622128,2.1175702128502,202.68,NA
62,0.1,0,0,"PPD",1,5,8,0.866021144752524,0.94560357024596,3.32995248063011,2.10422982668087,208.592,NA
63,0.1,0,0,"PPD",1,5,8,1.02602887759271,1.00919239855514,3.5637034802423,2.07583169664079,186.482,NA
64,0.1,0,0,"PPD",1,5,8,0.881206217515305,1.0682371341323,3.33802031887851,2.10931772624997,219.021,NA
65,0.1,0,0,"PPD",1,5,8,0.848090418209267,0.883813797666237,3.33527648602131,2.09721518637423,201.42,NA
66,0.1,0,0,"PPD",1,5,8,0.921388499630301,0.975390579806707,3.36798438453573,2.05943360211218,227.904,NA
67,0.1,0,0,"PPD",1,5,8,0.868525821634836,1.03598660299909,3.38500023517364,2.09767597963006,195.226,NA
68,0.1,0,0,"PPD",1,5,8,0.919464066617309,0.972224192988423,3.34423339675255,2.09041203958509,220.111,NA
69,0.1,0,0,"PPD",1,5,8,0.944755704252616,1.01055687355234,3.38971839003071,2.11068486001663,241.264,NA
70,0.1,0,0,"PPD",1,5,8,0.842452823211681,1.02367033461732,3.25647384560507,2.09410453981695,198.49,NA
71,0.1,0,0,"PPD",1,5,8,0.932549502834414,0.977624523827076,3.41936608043533,2.06701377892643,251.501,NA
72,0.1,0,0,"PPD",1,5,8,0.934812790681869,0.966242998546071,3.39685182701575,2.12747299645292,226.073,NA
73,0.1,0,0,"PPD",1,5,8,0.970735641406809,0.96213595407161,3.51199693309352,2.11089522261519,211.498,NA
74,0.1,0,0,"PPD",2,4,7,0.785035698059525,0.965055111832888,2.40453389441671,1.78688953838827,226.069,NA
